"","LDA","KNN","MclustDA","RFpc","RF"
"Group",0.924305555555556,0.936805555555556,0.923611111111111,0.935416666666667,0.945833333333333
"Subject",0.708333333333333,0.624305555555556,0.668055555555556,0.736805555555555,0.773611111111111
"Condition",0.411111111111111,0.484027777777778,0.443055555555556,0.554166666666667,0.561805555555556
"Joint",0.586111111111111,0.34375,NA,0.427777777777778,0.489583333333333
